iter	Passed	Remaining
0	4283	4278959
1	9270	4625853
2	15343	5099286
3	19880	4950267
4	24130	4801924
5	27539	4562452
6	31027	4401519
7	34631	4294364
8	38000	4184232
9	41441	4102664
10	44923	4039056
11	48413	3986022
12	52124	3957429
13	56156	3955039
14	59791	3926304
15	63460	3902829
16	67586	3908069
17	71284	3888968
18	74923	3868432
19	78676	3855162
20	82268	3835263
21	86179	3831065
22	90675	3851735
23	94823	3856152
24	99020	3861788
25	102664	3845970
26	107023	3856810
27	111458	3869195
28	115940	3882007
29	119865	3875647
30	124540	3892905
31	129062	3904147
32	133436	3910082
33	137156	3896866
34	141920	3912962
35	147096	3938917
36	150980	3929582
37	154903	3921493
38	160229	3948211
39	166125	3987019
40	170862	3996525
41	175251	3997409
42	178941	3982499
43	182510	3965452
44	185949	3946262
45	189702	3934262
46	193484	3923217
47	197095	3909062
48	201090	3902793
49	204825	3891693
50	208908	3887342
51	212873	3880848
52	216798	3873736
53	220724	3866771
54	224674	3860312
55	228424	3850576
56	232549	3847258
57	236846	3846714
58	241004	3843812
59	244936	3837341
60	248499	3825266
61	251945	3811692
62	256101	3809006
63	260321	3807196
64	264322	3802171
65	268418	3798531
66	272708	3797565
67	276999	3796523
68	281132	3793257
69	285256	3789840
70	289181	3783797
71	293259	3779784
72	297199	3774032
73	300940	3765816
74	304684	3757775
75	308449	3750096
76	312467	3745555
77	316434	3740413
78	320469	3736101
79	324464	3731341
80	328413	3726074
81	332387	3721115
82	336367	3716253
83	340256	3710419
84	343919	3702187
85	347798	3696371
86	351793	3691807
87	355532	3684612
88	359222	3676982
89	363311	3673487
90	367093	3666900
91	371082	3662421
92	375126	3658494
93	378829	3651269
94	382938	3647996
95	386612	3640599
96	390482	3635109
97	394509	3631099
98	398257	3624544
99	401979	3617818
100	406460	3617901
101	410049	3610043
102	414131	3606559
103	418135	3602396
104	422006	3597104
105	426492	3597025
106	430287	3591091
107	434378	3587645
108	438548	3584833
109	442617	3581180
110	446649	3577222
111	450750	3573808
112	454711	3569282
113	458443	3562987
114	461989	3555308
115	465842	3550042
116	469298	3541802
117	473281	3537577
118	477180	3532737
119	481227	3529001
120	485321	3525601
121	489302	3521377
122	493002	3515148
123	497055	3511454
124	501083	3507584
125	504967	3502714
126	509047	3499200
127	512795	3493417
128	516768	3489191
129	520761	3485094
130	525020	3482771
131	529120	3479369
132	533313	3476562
133	537223	3471906
134	540817	3465235
135	544667	3460241
136	548809	3457101
137	552565	3451534
138	556164	3445017
139	560196	3441209
140	564195	3437192
141	567666	3429982
142	571563	3425386
143	575616	3421722
