"year" "source" "base" "ID" "rep" "replacement_condition"
2012 "chicken" "A" 2 1 TRUE
2006 "chicken" "I" 9 1 TRUE
2009 "chicken" "I" 3 1 TRUE
2011 "chicken" "I" 9 1 TRUE
2012 "chicken" "I" 14 1 TRUE
2013 "chicken" "I" 16 1 TRUE
2014 "chicken" "I" 7 1 TRUE
2015 "chicken" "I" 20 1 TRUE
2016 "chicken" "I" 18 1 TRUE
2018 "chicken" "I" 20 1 TRUE
1997 "human_stool" "I" 4 1 TRUE
1998 "human_stool" "I" 2 1 TRUE
2001 "human_stool" "I" 12 1 TRUE
2003 "human_stool" "I" 18 1 TRUE
2004 "human_stool" "I" 15 1 TRUE
2005 "human_stool" "I" 7 1 TRUE
2006 "human_stool" "I" 12 1 TRUE
2007 "human_stool" "I" 17 1 TRUE
2009 "human_stool" "I" 17 1 TRUE
2010 "human_stool" "I" 10 1 TRUE
2011 "human_stool" "I" 9 1 TRUE
2012 "human_stool" "I" 15 1 TRUE
2013 "human_stool" "I" 18 1 TRUE
2014 "human_stool" "I" 15 1 TRUE
2015 "human_stool" "I" 13 1 TRUE
2016 "human_stool" "I" 17 1 TRUE
2017 "human_stool" "I" 20 1 TRUE
2018 "human_stool" "I" 18 1 TRUE
2017 "human_stool" "K" 1 1 TRUE
2006 "chicken" "T" 41 1 TRUE
2009 "chicken" "T" 47 1 TRUE
2011 "chicken" "T" 41 1 TRUE
2012 "chicken" "T" 34 1 TRUE
2013 "chicken" "T" 34 1 TRUE
2014 "chicken" "T" 43 1 TRUE
2015 "chicken" "T" 30 1 TRUE
2016 "chicken" "T" 32 1 TRUE
2018 "chicken" "T" 30 1 TRUE
1997 "human_stool" "T" 46 1 TRUE
1998 "human_stool" "T" 48 1 TRUE
2001 "human_stool" "T" 38 1 TRUE
2003 "human_stool" "T" 32 1 TRUE
2004 "human_stool" "T" 35 1 TRUE
2005 "human_stool" "T" 43 1 TRUE
2006 "human_stool" "T" 38 1 TRUE
2007 "human_stool" "T" 33 1 TRUE
2009 "human_stool" "T" 33 1 TRUE
2010 "human_stool" "T" 40 1 TRUE
2011 "human_stool" "T" 41 1 TRUE
2012 "human_stool" "T" 35 1 TRUE
2013 "human_stool" "T" 32 1 TRUE
2014 "human_stool" "T" 35 1 TRUE
2015 "human_stool" "T" 37 1 TRUE
2016 "human_stool" "T" 33 1 TRUE
2017 "human_stool" "T" 29 1 TRUE
2018 "human_stool" "T" 32 1 TRUE
2012 "chicken" "A" 2 2 TRUE
2006 "chicken" "I" 3 2 TRUE
2009 "chicken" "I" 5 2 TRUE
2011 "chicken" "I" 17 2 TRUE
2012 "chicken" "I" 13 2 TRUE
2013 "chicken" "I" 17 2 TRUE
2014 "chicken" "I" 12 2 TRUE
2015 "chicken" "I" 18 2 TRUE
2016 "chicken" "I" 12 2 TRUE
2018 "chicken" "I" 28 2 TRUE
1997 "human_stool" "I" 1 2 TRUE
1998 "human_stool" "I" 1 2 TRUE
2001 "human_stool" "I" 11 2 TRUE
2003 "human_stool" "I" 7 2 TRUE
2004 "human_stool" "I" 12 2 TRUE
2005 "human_stool" "I" 10 2 TRUE
2006 "human_stool" "I" 27 2 TRUE
2007 "human_stool" "I" 20 2 TRUE
2009 "human_stool" "I" 17 2 TRUE
2010 "human_stool" "I" 20 2 TRUE
2011 "human_stool" "I" 17 2 TRUE
2012 "human_stool" "I" 18 2 TRUE
2013 "human_stool" "I" 12 2 TRUE
2014 "human_stool" "I" 23 2 TRUE
2015 "human_stool" "I" 19 2 TRUE
2016 "human_stool" "I" 13 2 TRUE
2017 "human_stool" "I" 18 2 TRUE
2018 "human_stool" "I" 26 2 TRUE
2006 "chicken" "T" 47 2 TRUE
2009 "chicken" "T" 45 2 TRUE
2011 "chicken" "T" 33 2 TRUE
2012 "chicken" "T" 35 2 TRUE
2013 "chicken" "T" 33 2 TRUE
2014 "chicken" "T" 38 2 TRUE
2015 "chicken" "T" 32 2 TRUE
2016 "chicken" "T" 38 2 TRUE
2018 "chicken" "T" 22 2 TRUE
1997 "human_stool" "T" 49 2 TRUE
1998 "human_stool" "T" 49 2 TRUE
2001 "human_stool" "T" 39 2 TRUE
2003 "human_stool" "T" 43 2 TRUE
2004 "human_stool" "T" 38 2 TRUE
2005 "human_stool" "T" 40 2 TRUE
2006 "human_stool" "T" 23 2 TRUE
2007 "human_stool" "T" 30 2 TRUE
2009 "human_stool" "T" 33 2 TRUE
2010 "human_stool" "T" 30 2 TRUE
2011 "human_stool" "T" 33 2 TRUE
2012 "human_stool" "T" 32 2 TRUE
2013 "human_stool" "T" 38 2 TRUE
2014 "human_stool" "T" 27 2 TRUE
2015 "human_stool" "T" 31 2 TRUE
2016 "human_stool" "T" 37 2 TRUE
2017 "human_stool" "T" 32 2 TRUE
2018 "human_stool" "T" 24 2 TRUE
2012 "chicken" "A" 3 3 TRUE
2006 "chicken" "I" 5 3 TRUE
2009 "chicken" "I" 2 3 TRUE
2011 "chicken" "I" 13 3 TRUE
2012 "chicken" "I" 12 3 TRUE
2013 "chicken" "I" 14 3 TRUE
2014 "chicken" "I" 11 3 TRUE
2015 "chicken" "I" 24 3 TRUE
2016 "chicken" "I" 19 3 TRUE
2018 "chicken" "I" 28 3 TRUE
1997 "human_stool" "I" 1 3 TRUE
1998 "human_stool" "I" 5 3 TRUE
2001 "human_stool" "I" 6 3 TRUE
2003 "human_stool" "I" 20 3 TRUE
2004 "human_stool" "I" 12 3 TRUE
2005 "human_stool" "I" 12 3 TRUE
2006 "human_stool" "I" 15 3 TRUE
2007 "human_stool" "I" 17 3 TRUE
2009 "human_stool" "I" 14 3 TRUE
2010 "human_stool" "I" 23 3 TRUE
2011 "human_stool" "I" 15 3 TRUE
2012 "human_stool" "I" 16 3 TRUE
2013 "human_stool" "I" 17 3 TRUE
2014 "human_stool" "I" 23 3 TRUE
2015 "human_stool" "I" 21 3 TRUE
2016 "human_stool" "I" 22 3 TRUE
2017 "human_stool" "I" 22 3 TRUE
2018 "human_stool" "I" 22 3 TRUE
2006 "chicken" "T" 45 3 TRUE
2009 "chicken" "T" 48 3 TRUE
2011 "chicken" "T" 37 3 TRUE
2012 "chicken" "T" 35 3 TRUE
2013 "chicken" "T" 36 3 TRUE
2014 "chicken" "T" 39 3 TRUE
2015 "chicken" "T" 26 3 TRUE
2016 "chicken" "T" 31 3 TRUE
2018 "chicken" "T" 22 3 TRUE
1997 "human_stool" "T" 49 3 TRUE
1998 "human_stool" "T" 45 3 TRUE
2001 "human_stool" "T" 44 3 TRUE
2003 "human_stool" "T" 30 3 TRUE
2004 "human_stool" "T" 38 3 TRUE
2005 "human_stool" "T" 38 3 TRUE
2006 "human_stool" "T" 34 3 TRUE
2007 "human_stool" "T" 33 3 TRUE
2009 "human_stool" "T" 36 3 TRUE
2010 "human_stool" "T" 27 3 TRUE
2011 "human_stool" "T" 35 3 TRUE
2012 "human_stool" "T" 34 3 TRUE
2013 "human_stool" "T" 33 3 TRUE
2014 "human_stool" "T" 27 3 TRUE
2015 "human_stool" "T" 29 3 TRUE
2016 "human_stool" "T" 28 3 TRUE
2017 "human_stool" "T" 28 3 TRUE
2018 "human_stool" "T" 28 3 TRUE
2006 "human_stool" "V" 1 3 TRUE
2011 "chicken" "A" 1 4 TRUE
2001 "human_stool" "A" 1 4 TRUE
2011 "human_stool" "A" 2 4 TRUE
2016 "human_stool" "A" 1 4 TRUE
2006 "chicken" "I" 10 4 TRUE
2009 "chicken" "I" 4 4 TRUE
2011 "chicken" "I" 12 4 TRUE
2012 "chicken" "I" 18 4 TRUE
2013 "chicken" "I" 15 4 TRUE
2014 "chicken" "I" 14 4 TRUE
2015 "chicken" "I" 20 4 TRUE
2016 "chicken" "I" 22 4 TRUE
2018 "chicken" "I" 27 4 TRUE
1997 "human_stool" "I" 4 4 TRUE
1998 "human_stool" "I" 4 4 TRUE
2001 "human_stool" "I" 12 4 TRUE
2003 "human_stool" "I" 11 4 TRUE
2004 "human_stool" "I" 12 4 TRUE
2005 "human_stool" "I" 11 4 TRUE
2006 "human_stool" "I" 14 4 TRUE
